#   ObjectID        mag_ab_g   mag_ab_r  Mag_abs_r   redshift
587728666115506432    18.23      17.39    -19.83      0.06
587728665579749632    17.75      17.38    -19.58      0.06
587728669343940864    18.02      17.47    -19.85      0.07
587728669881270400    18.00      17.43    -19.27      0.05
588010137340149888    17.74      17.32    -19.71      0.06
588009367472373888    18.22      17.39    -19.94      0.07
587728880331718912    18.37      17.50    -20.01      0.07
588010359068622976    17.84      17.31    -19.69      0.06
587728879262302336    18.13      17.30    -20.29      0.07
588010357996060928    18.12      17.56    -19.21      0.05
587728880872259712    17.99      17.59    -19.95      0.07
587728880335585408    17.92      17.36    -19.72      0.06
588010359073472640    18.16      17.50    -19.43      0.06
587728880877961344    18.05      17.39    -20.23      0.07
588010359077142528    18.05      17.43    -20.00      0.07
587728880342794368    18.14      17.23    -20.17      0.07
587728879269511168    18.02      17.35    -20.21      0.07
587726102558081152    18.29      17.51    -19.86      0.07
587726102021734656    18.02      17.44    -19.56      0.06
587726100412039296    17.71      17.39    -19.76      0.06
587726100949827712    18.22      17.56    -19.69      0.06
587728679540490240    18.36      17.61    -19.58      0.06
587728679541538944    18.03      17.49    -19.56      0.06
587728918445359360    17.80      17.37    -20.08      0.07
588007004181889152    18.43      17.61    -19.93      0.07
587728918446276736    18.42      17.54    -20.08      0.07
587728918985244800    17.58      17.37    -19.40      0.05
588007003646984192    18.08      17.24    -19.51      0.05
588007006331076736    17.85      17.46    -19.67      0.06
587729228221186176    17.59      17.35    -19.95      0.06
587729227685626112    18.17      17.64    -19.98      0.07
587725816959729792    17.86      16.99    -20.47      0.07
587728918451716096    18.01      17.24    -20.27      0.07
587725816425021696    17.87      17.25    -20.13      0.07
587725818034978944    18.03      17.49    -20.13      0.07
587729229298270336    18.21      17.59    -19.16      0.05
588007004726493440    17.70      17.20    -19.52      0.05
587725818036814080    17.84      17.03    -20.25      0.06
587729407536332928    17.93      17.24    -20.15      0.07
587725818037534976    18.30      17.42    -19.82      0.06
587725816963399808    18.03      17.41    -19.80      0.06
587725993572434048    17.68      17.20    -19.96      0.06
587725993035432320    17.95      17.23    -19.84      0.06
587725993035038720    17.77      17.35    -19.71      0.06
587729409688273152    17.92      17.03    -20.51      0.07
587729408078905600    18.05      17.52    -19.66      0.06
588007005269459328    18.39      17.54    -20.01      0.07
588007004733767808    17.57      17.12    -20.00      0.06
587729408617808128    17.75      17.50    -19.78      0.06
588007005271556352    17.95      17.20    -20.13      0.07
587729231445229568    18.09      17.17    -19.99      0.06
587725993577480320    17.47      17.11    -20.18      0.06
587729232519496064    18.16      17.35    -19.87      0.06
587725993039888512    17.18      16.97    -20.21      0.06
587725994651156736    17.26      16.95    -20.28      0.06
587727213879427712    17.93      17.50    -19.81      0.07
587727213882769664    17.48      17.01    -19.90      0.05
587726878880039040    17.91      17.44    -19.81      0.06
587726879953780992    17.49      17.18    -19.88      0.06
587727177909338240    18.09      17.19    -20.33      0.07
587727178446864512    17.98      17.18    -20.12      0.07
587727225689538816    18.27      17.41    -20.11      0.07
587727178985701504    18.00      17.46    -20.11      0.07
587727225691177088    17.64      17.27    -20.12      0.07
587727178450665600    18.03      17.50    -19.71      0.06
587727227303493760    17.42      16.91    -20.22      0.06
587727225157124224    18.23      17.54    -19.42      0.06
587727227305263360    18.25      17.43    -19.43      0.05
587727227842068608    17.86      17.06    -19.93      0.06
